557b82c9e138239225f86468	11	{1,2,3}	{"M.","5","."}	{"NNP","CD","."}	{"O","NUMBER","O"}	{"M.","5","."}	{"","dep",""}	{0,1,0}
557b82c9e138239225f86468	12	{1,2}	{"6","."}	{"CD","."}	{"NUMBER","O"}	{"6","."}	{"",""}	{0,0}
557b82c9e138239225f86468	13	{1,2}	{"7","."}	{"CD","."}	{"NUMBER","O"}	{"7","."}	{"",""}	{0,0}
557b82c9e138239225f86468	14	{1,2}	{"8","."}	{"CD","."}	{"NUMBER","O"}	{"8","."}	{"",""}	{0,0}
557b82c9e138239225f86468	15	{1,2}	{"9","."}	{"CD","."}	{"NUMBER","O"}	{"9","."}	{"",""}	{0,0}
557b82c9e138239225f86468	16	{1,2}	{"10","."}	{"CD","."}	{"NUMBER","O"}	{"10","."}	{"",""}	{0,0}
557b82c9e138239225f86468	17	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}	{"Typical","curves","showing","primary","and","tertiary","creep","...","A","creep","curve","illustrating","the","``","pure","Saito","''","relation","in","which","the","product","of","the","strain","rate","and","the","time","remaining","is","a","constant","...","...","...","...","...","Foreshocks","of","the","Cremasta",",","Greece",",","earthquake","of","February","5",",","1966","...","...","...","...","...","...","...","."}	{"JJ","NNS","VBG","JJ","CC","JJ","NN",":","DT","NN","NN","VBG","DT","``","JJ","NNP","''","NN","IN","WDT","DT","NN","IN","DT","NN","NN","CC","DT","NN","VBG","VBZ","DT","JJ",":",":",":",":",":","NNS","IN","DT","NNP",",","NNP",",","NN","IN","NNP","CD",",","CD",":",":",":",":",":",":",":","."}	{"O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","PERSON","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","LOCATION","O","LOCATION","O","O","O","DATE","DATE","DATE","DATE","O","O","O","O","O","O","O","O"}	{"typical","curve","show","primary","and","tertiary","creep","...","a","creep","curve","illustrate","the","``","pure","Saito","''","relation","in","which","the","product","of","the","strain","rate","and","the","time","remain","be","a","constant","...","...","...","...","...","foreshock","of","the","Cremasta",",","Greece",",","earthquake","of","February","5",",","1966","...","...","...","...","...","...","...","."}	{"amod","","case","dep","cc","conj:and","dep","","det","compound","dep","acl","det","","amod","compound","","dobj","case","dep","det","acl:in","case","det","compound","nmod:of","cc","nsubj","conj:and","dobj","cop","acl:relcl","dep","","","","","","dep","case","det","nmod:of","","appos","","appos","case","nmod:of","nummod","","nummod","","","","","","","",""}	{2,0,4,2,4,4,6,0,11,11,7,11,18,0,18,18,0,12,22,22,22,18,26,26,26,22,22,29,22,29,32,30,32,0,0,0,0,0,18,42,42,39,0,42,0,42,48,46,48,0,48,0,0,0,0,0,0,0,0}
557b82c9e138239225f86468	18	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}	{"/","T","I/O","Log","-LRB-","Z/E/10","-RRB-","ergs","versus","time",",","Cremasta","earthquake","of","February","5",",","1966",",","M","=","5.9","...","...","...","...","...","."}	{":","NN","NN","NN","-LRB-","NN","-RRB-","NNS","CC","NN",",","NNP","NN","IN","NNP","CD",",","CD",",","NN","JJ","CD",":",":",":",":",":","."}	{"O","O","O","O","O","O","O","O","O","O","O","O","O","O","DATE","DATE","DATE","DATE","O","O","O","NUMBER","O","O","O","O","O","O"}	{"/","t","i/o","log","-lrb-","z/e/10","-rrb-","erg","versus","time",",","Cremasta","earthquake","of","February","5",",","1966",",","m","=","5.9","...","...","...","...","...","."}	{"","compound","compound","dep","","appos","","","case","nmod:versus","","compound","appos","case","nmod:of","nummod","","nummod","","appos","amod","compound","","","","","",""}	{0,4,4,8,0,4,0,0,10,8,0,13,10,15,13,15,0,15,0,10,20,21,0,0,0,0,0,0}
557b82c9e138239225f86468	19	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34}	{"Log","1Q","-LRB-","t","-","t","-RRB-","versus","log","-LRB-","AE/E/At","-RRB-",",","Cremasta","earthquake","foreshock","series","...","...","...","...","...","Cremasta","Lake","earthquake",":","Plot","of","the","correlation","coefficient","r","_","?"}	{"VB","NN","-LRB-","NN",":","NN","-RRB-","CC","NN","-LRB-","NN","-RRB-",",","NNP","NN","NN","NN",":",":",":",":",":","NNP","NNP","NN",":","NN","IN","DT","NN","NN","NN","CD","."}	{"O","O","O","O","O","O","O","O","O","O","O","O","O","PERSON","O","O","O","O","O","O","O","O","LOCATION","LOCATION","O","O","O","O","O","O","O","O","NUMBER","O"}	{"log","1q","-lrb-","t","-","t","-rrb-","versus","log","-lrb-","ae/e/at","-rrb-",",","Cremasta","earthquake","foreshock","series","...","...","...","...","...","Cremasta","Lake","earthquake",":","plot","of","the","correlation","coefficient","r","_","?"}	{"","dobj","","dep","","dep","","case","nmod:versus","","appos","","","appos","compound","acl:relcl","dep","","","","","","compound","dep","nmod","","dep","case","det","compound","compound","nmod:of","dep",""}	{0,1,0,2,0,4,0,9,4,0,9,0,0,9,16,14,16,0,0,0,0,0,24,2,24,0,25,32,32,32,32,27,32,0}
557b82c9e138239225f86468	20	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61}	{"versus","estimated","time","of","main","shock","for","various","values","of","A","in","equation","M.","...","...","Log","-LRB-","E/E","-70","-RRB-","versus","log","-LRB-","212,000-t","-RRB-",",","Cremasta","foreshock","sequence","...","...","...","...","...","...","...","Summary","of","predictions","of","main-shock","times","from","analysis","of","foreshock","sequences","of","10","different","earthquakes","...","...","...","...","...","...","...","...","."}	{"CC","VBN","NN","IN","JJ","NN","IN","JJ","NNS","IN","NN","IN","NN","NN",":",":","NN","-LRB-","NN","CD","-RRB-","CC","NN","-LRB-","NN","-RRB-",",","NNP","NN","NN",":",":",":",":",":",":",":","NNP","IN","NNS","IN","JJ","NNS","IN","NN","IN","NN","NNS","IN","CD","JJ","NNS",":",":",":",":",":",":",":",":","."}	{"O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","NUMBER","O","O","O","O","O","O","O","PERSON","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","NUMBER","O","O","O","O","O","O","O","O","O","O","O"}	{"versus","estimate","time","of","main","shock","for","various","value","of","a","in","equation","m.","...","...","log","-lrb-","e/e","-70","-rrb-","versus","log","-lrb-","212,000-t","-rrb-",",","Cremasta","foreshock","sequence","...","...","...","...","...","...","...","Summary","of","prediction","of","main-shock","time","from","analysis","of","foreshock","sequence","of","10","different","earthquake","...","...","...","...","...","...","...","...","."}	{"nsubj","","dobj","case","amod","nmod:of","case","amod","nmod:for","case","acl:of","case","compound","nmod:in","","","dep","","appos","nummod","","cc","conj:versus","","acl:relcl","","","appos","dep","nmod","","","","","","","","parataxis","case","nmod:of","case","amod","nmod:of","case","nmod:from","case","compound","nmod:of","case","nummod","amod","nmod:of","","","","","","","","",""}	{2,0,2,6,6,3,9,9,6,11,9,14,14,11,0,0,14,0,17,19,0,17,17,0,23,0,0,25,30,25,0,0,0,0,0,0,0,35,40,38,43,43,40,45,40,48,48,45,52,52,52,45,0,0,0,0,0,0,0,0,0}
